#,Country,ICU-CCB
1,Japan,13.5
2,"Korea, South",10.6
3,Russia,8.3
4,Germany,38.7
5,Austria,27.758
6,Hungary,13.8
7,Czechia,11.6
8,Poland,6.9
9,Lithuania,15.5
10,France,11.6
11,Slovakia,9.2
12,Belgium,15.9
13,Latvia,9.7
14,Hong Kong,7.1
15,Estonia,14.6
16,Luxembourg,24.8
17,Switzerland,11
18,Slovenia,6.4
19,China,3.6
20,Greece,9.5
21,Australia,9.1
22,Norway,8
23,Portugal,4.2
24,Netherlands,6.4
25,Finland,6.1
26,Italy,12.5
27,Iceland,9.1
28,Israel,7.1514
29,Spain,9.7
30,Ireland,6.5
31,Turkey,46.5
32,US,29.4
33,New Zealand,4.6
34,Denmark,6.7
35,United Kingdom,6.6
36,Canada,13.5
37,Sweden,5.8
38,Chile,
39,Colombia,11.69
40,India,
41,Mexico,1.2
42,Ukraine,
43,Bangladesh,0.72
